Zip Code,Prediction,Type_y
11364,25.72013475230248,Italian
11364,14.716943853154932,Italian
11364,7.589591591634049,Italian
11221,34.071645408306,Italian
11221,47.65116964702678,Italian
11237,34.080754586023055,Italian
11237,63.66428194432587,Italian
11237,40.516543092140004,Italian
10461,26.452355941301217,Italian
10461,20.906448115692804,Italian
10461,27.77692555586057,Italian
10461,14.900526946437193,Italian
10461,16.385330777157495,Italian
10461,15.042838793601772,Italian
10461,11.801874506214162,Italian
10461,16.6948931879913,Italian
10461,16.716130345069768,Italian
10461,29.10344213030488,Italian
11414,23.468407194887448,Italian
11414,13.208683993735196,Italian
11414,23.447452584972044,Italian
11414,10.518411718328375,Italian
11414,8.248343861785369,Italian
10312,16.637518815548468,Italian
10312,8.49496080377229,Italian
10312,14.85168666287836,Italian
10312,19.759093872577427,Italian
